ind;exp
1;0.034420517
2;0.000495785
3;0.001536571
4;0.005539385
5;0.069819923
6;0.046228472
7;0.003492234
8;0.010752071
9;0.000199582
10;0.030495604
11;0.055405928
12;0.02537048
13;0.018529131
14;0.014500048
15;0.030869103
16;0.019207891
17;0.012727059
18;0.023124955
19;0.039925783
20;0.141451484
21;0.023130994
22;0.009716418
23;0.001510604
24;0.002035073
25;3.29114E-05
26;0.003995568
27;0.004332834
28;0.018082864
29;0.08841065
30;0.064263328
31;0.023049772
32;0.002190572
33;0.009761407
34;0.014858451
35;0.000434793
36;0.020604362
37;0.003305032
38;0.005181285
39;0.005300551
40;0.030424648
41;0.007938899
42;0.0033002
43;0.002227409
44;0.000814029
45;0.010200428
46;0.021588686
47;0.003096995
48;0.004346421
49;0.002233448
50;0.001582768
51;0.000924237
52;0.014052574
53;0.008836566
54;0.001138313
55;0.00030828
56;0.000178144
57;0
58;0.001481618
59;0.000719824
60;0.000153385
61;0
62;0.000163651
63;0
64;0
;
;
;
;
;
;