year;indice
1975;13.06841667
1976;14.77908333
1977;17.77608333
1978;20.6935
1979;23.69025
1980;27.841
1981;32.29658333
1982;36.30808333
1983;41.3935
1984;46.45925
1985;50.179
1986;50.64966667
1987;51.06066667
1988;52.57241667
1989;54.72725
1990;55.94741667
1991;56.77616667
1992;57.55841667
1993;58.93083333
1994;61.44383333
1995;65.37566667
1996;66.46966667
1997;67.126
1998;66.68841667
1999;67.13275
2000;70.74641667
2001;71.9795
2002;72.42383333
2003;73.45141667
2004;75.96441667
2005;79.55141667
2006;83.84133333
2007;86.85816667
2008;92.547
2009;89.3975
2010;92.69241667
2011;99.12583333
2012;102.869
2013;103.4959167
2014;102.1119167
2015;99.99991667
2016;96.86891667
2017;101.0900833
2018;104.1004167
2019;103.6435833
2020;103.462